id,slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
29,colonia-futura,Colonia Futura,https://www.etirsah.com/storage/photos/shares/ACQUA%20DI%20PARMA%20-%20COLONIA%20FUTURA%20FOR%20UNISEX.jpg,,Unisex,25.00,45.00,70.00,Acqua Dı Parma,"berqamot, çəhrayı-istiot, limon, qreyfrut","lavanda, müşk-sürvəsi-adaçayı",vetivera,https://www.etirsah.com/az/product/29,Stokda Var
60,mukhallath-al-emirates,Mukhallath Al Emirates,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---MUKHALLAT-AL-EMIRATES-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Al Haramain,"berqamot, qızılgül, ətirşah, davana","jasmin, mixək, orxideya, qızılgül, sidr, səndəl, zəfəran","meyvə-notları, müşk, sidr, çiçək-notları, kaşmeran",https://www.etirsah.com/az/product/60,Stokda Var
61,mukhallat-al-jahrah,Mukhallat Al Jahrah,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---MUKHALLAT-AL-JAHRAN.jpg,,Kişi,15.00,25.00,35.00,Al Haramain,ənbər,müşk,yasəmən,https://www.etirsah.com/az/product/61,Stokda Var
62,red-jafran,Red Jafran,https://www.etirsah.com/storage/photos/shares/AL-HARAMAIN---RED-JAFRAN.jpg,,Kişi,15.00,25.00,35.00,Al Haramain,zəfəran,,,https://www.etirsah.com/az/product/62,Stokda Var
1840,crme-de-cuir,Crème de Cuir,https://www.etirsah.com/storage/photos/shares/BDK---CREME-DE-CUIR-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,BDK Parfums,"ananas, berqamot, naringi-mandarin, qreyfrut","çəhrayı-istiot, istiot, səndəl, ağ-zamşa","ağ-müşk, müşk, vanil, kaşmeran, tozağacı",https://www.etirsah.com/az/product/1840,Stokda Var
1841,tubereuse-imperiale,Tubereuse Imperiale,https://www.etirsah.com/storage/photos/shares/BDK---TUBEREUSE-IMPERIALE-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,BDK Parfums,"ətirşah, xamerion","ilanq-ilanq, süsən, tuberoza, ərəb-jasmini, misir-jasmini","benzoin, paçuli, səndəl, büxur-ladan, sərv, kaşmeran, madaqaskar-vanili",https://www.etirsah.com/az/product/1841,Stokda Var
1842,bentley-azure,Bentley Azure,https://www.etirsah.com/storage/photos/shares/BENTLEY---BENTLEY-FOR-MEN-AZURE.jpg,,Kişi,25.00,45.00,70.00,Bentley,"ananas, berqamot, bənövşə-yarpağı, tanqerin","qara-çay, lavanda, müşk-sürvəsi-adaçayı, paprika","tonka-lobyası, kaşmir-ağacı",https://www.etirsah.com/az/product/1842,Stokda Var
1843,bentley-intense,Bentley Intense,https://www.etirsah.com/storage/photos/shares/BENTLEY---BENTLEY-INTENSE-FOR-MEN.jpg,,Kişi,25.00,45.00,70.00,Bentley,"berqamot, qara-istiot, dəfnə-yarpağı","ağac-notları, darçın, müşk-sürvəsi-adaçayı, rom, ətirşah","benzoin, dəri, paçuli, sidr, büxur-ladan",https://www.etirsah.com/az/product/1843,Stokda Var
1844,infinite,Infinite,https://www.etirsah.com/storage/photos/shares/BENTLEY---INFINITE-FOR-MEN.jpg,,Kişi,15.00,25.00,35.00,Bentley,"lavanda, sidr, sitrus","bənövşə, istiot, ətirşah","paçuli, vetivera, boz-ənbər",https://www.etirsah.com/az/product/1844,Stokda Var
1845,greenwich-village,Greenwich Village,https://www.etirsah.com/storage/photos/shares/BOND-N0.9---GREENWICH-VILLAGE-FOR-UNISEX.jpg,,Unisex,32.00,55.00,90.00,Bond No.9,"liçi, naringi-mandarin, qara-qarağat-yarpağı","jasmin, pion, suzanbağı","ambroksan, müşk, palıd-mamırı, vanil, praline",https://www.etirsah.com/az/product/1845,Stokda Var
