qafiya-3;Qafiya 3;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.49546.2x.avif;;Unisex;30.00;55.00;90.00;Ajmal;dəri,bənövşə,səndəl,türk-qızılgülü;müşk,ağac-notları;ənbər;;Stokda Var
rose-oud;Rose Oud;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.22359.2x.avif;;Qadın;25.00;45.00;70.00;Alexandre.J;moruq,limon,alma;qızılgül,ağac-notları,paçuli;müşk,vanil,ənbər;;
guidance-46;Guidance 46;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.94033.2x.avif;;Unisex;38.00;70.00;110.00;Amouage;armud,acı-badam,çəhrayı-istiot;qızılgül,osmantus;səndəl,vanil,labdanum;;
vanille-leather;Vanille Leather;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.82783.2x.avif;;Unisex;25.00;45.00;70.00;BDK Parfums;bənövşə, çəhrayı-istiot;tuberoza,portağal-çiçəyi,jasmin;vanil,dəri;;
;;;;;;;;;;;;;
blue-sapphire;Blue Sapphire;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.18518.2x.avif;;Unisex;25.00;45.00;70.00;Boadicea the Victorious;limon,zəfəran;qızılgül, hind-jasmini-maqnoliya;paçuli, ənbər;;
madison-avenue;Madison Avenue;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.35956.2x.avif;;Qadın;25.00;45.00;70.00;Bond No.9;böyürtkən,alma,berqamot;Qızılgül,maqnoliya,jasmin;paçuli,ambroksan;;
ilusione;Ilusione;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.55300.2x.avif;;Qadın;25.00;45.00;70.00;Bottega Veneta;Berqamot,qara-üzüm;portağal-çiçəyi;tonka-lobyası;;
parco-palladiano-v-lauro;Parco Palladiano V: Lauro;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.38267.2x.avif;;Unisex;25.00;45.00;70.00;Bottega Veneta;nanə,labdanum;rozmarin,ətirşah;vetivera;;
parco-palladiano-iv-azalea;Parco Palladiano IV: Azalea;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.38266.2x.avif;;Unisex;25.00;45.00;70.00;Bottega Veneta;tanqerin;şaftalı,portağal-çiçəyi;vanil;;
;;;;;;;;;;;;;
my-burberry-black;My Burberry Black;;;Qadın;25.00;45.00;70.00;Burberry;jasmin;şaftalı,qızılgül;ənbər,paçuli;;
my-burberry-blush;My Burberry Blush;;;Qadın;25.00;45.00;70.00;Burberry;nar,limon;yaşıl-alma,ətirşah;jasmin;;
azaran;Azaran;;;Unisex;30.00;55.00;90.00;Bvlgari;Zəfəran,berqamot;yaşıl-çay;Dəri,ağac-notları;;
;;;;;;;;;;;;;
